"file","row_key","column","value","r2","r3","r4"
"co_exclusionary_measure_comparison.csv","ZM_zoning_mean_dist_km | res_low | FALSE | z_pct_res_low","estimate",0.00360002768120758,0,0.004,0.0036
"co_exclusionary_measure_comparison.csv","ZM_zoning_pct_same_tract | res_low | FALSE | z_pct_res_low","estimate",-8.70178498818125e-05,0,0,-1e-04
"co_exclusionary_measure_comparison.csv","ZA_college_lesshs_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",-0.11725692186747,-0.12,-0.117,-0.1173
"co_exclusionary_measure_comparison.csv","ZA_hisp_nonhisp_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",-0.0741221374863645,-0.07,-0.074,-0.0741
"co_exclusionary_measure_comparison.csv","ZA_nodens_whiteblack_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",0.108382309329425,0.11,0.108,0.1084
"co_exclusionary_measure_comparison.csv","ZA_whiteblack_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",-0.0492681798808162,-0.05,-0.049,-0.0493
"co_exclusionary_measure_comparison.csv","ZB_aspatial_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",-0.00504115380973157,-0.01,-0.005,-0.005
"co_exclusionary_measure_comparison.csv","ZB_cov50_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",0.117260370644356,0.12,0.117,0.1173
"co_exclusionary_measure_comparison.csv","ZB_horserace_exclusionary | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",-0.0646268772317776,-0.06,-0.065,-0.0646
"co_exclusionary_measure_comparison.csv","ZB_mincomm50_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",0.118758705636389,0.12,0.119,0.1188
"co_exclusionary_measure_comparison.csv","ZB_mod_college_lesshs_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",0.155673986155344,0.16,0.156,0.1557
"co_exclusionary_measure_comparison.csv","ZB_mod_hisp_nonhisp_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",0.110737146058164,0.11,0.111,0.1107
"co_exclusionary_measure_comparison.csv","ZB_mod_whiteblack_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",0.118758705636389,0.12,0.119,0.1188
"co_exclusionary_measure_comparison.csv","ZB_nodens_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",0.192823975239838,0.19,0.193,0.1928
"co_exclusionary_measure_comparison.csv","ZB_pooled3_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",0.115857239171018,0.12,0.116,0.1159
"co_exclusionary_measure_comparison.csv","ZD_persistence_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",0.0617137066716606,0.06,0.062,0.0617
"co_exclusionary_measure_comparison.csv","ZD_persistence_reslow_of_res_rank | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",0.0703498043516667,0.07,0.07,0.0703
"co_exclusionary_measure_comparison.csv","ZD_persistence_reslow_of_res_wins99 | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",0.0610028137340707,0.06,0.061,0.061
"co_exclusionary_measure_comparison.csv","ZD_res_seg_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",0.0216453195792149,0.02,0.022,0.0216
"co_exclusionary_measure_comparison.csv","ZD_wexp_pct_reslow_of_res | reslow_of_res | FALSE | z_pct_reslow_of_res","estimate",-0.0546900651312817,-0.05,-0.055,-0.0547
"co_exclusionary_measure_comparison.csv","ZB_aspatial_pct_res_low | res_low | TRUE | z_d_whiteblack_rac_aspatial:z_pct_res_low","std.error",0.0509524746069664,0.05,0.051,0.051
"co_exclusionary_measure_comparison.csv","ZB_cov50_pct_res_low | res_low | TRUE | z_d_whiteblack_rac_half:z_pct_res_low","std.error",0.118446838787646,0.12,0.118,0.1184
"co_exclusionary_measure_comparison.csv","ZB_horse_race_reslow_vs_transit | res_low | TRUE | z_d_whiteblack_rac_half:z_pct_res_low","std.error",0.0445779871614564,0.04,0.045,0.0446
"co_exclusionary_measure_comparison.csv","ZB_horserace_exclusionary | res_low | TRUE | z_d_whiteblack_rac_half:z_pct_res_low","std.error",0.117208647064164,0.12,0.117,0.1172
"co_exclusionary_measure_comparison.csv","ZB_mincomm50_pct_res_low | res_low | TRUE | z_d_whiteblack_rac_half:z_pct_res_low","std.error",0.119339644555421,0.12,0.119,0.1193
"co_exclusionary_measure_comparison.csv","ZB_mod_college_lesshs_pct_res_low | res_low | TRUE | z_d_college_lesshs_rac_half:z_pct_res_low","std.error",0.130008719663678,0.13,0.13,0.13
"co_exclusionary_measure_comparison.csv","ZB_mod_hisp_nonhisp_pct_res_low | res_low | TRUE | z_d_hisp_nonhisp_rac_half:z_pct_res_low","std.error",0.133103758161606,0.13,0.133,0.1331
"co_exclusionary_measure_comparison.csv","ZB_mod_whiteblack_pct_res_low | res_low | TRUE | z_d_whiteblack_rac_half:z_pct_res_low","std.error",0.119339644555421,0.12,0.119,0.1193
"co_exclusionary_measure_comparison.csv","ZB_nodens_pct_res_low | res_low | TRUE | z_d_whiteblack_rac_half:z_pct_res_low","std.error",0.123152077925516,0.12,0.123,0.1232
"co_exclusionary_measure_comparison.csv","ZB_pooled3_pct_res_low | res_low | TRUE | z_d_whiteblack_rac_half:z_pct_res_low","std.error",0.114060495099623,0.11,0.114,0.1141
"co_exclusionary_measure_comparison.csv","ZD_persistence_reslow | res_low | TRUE | z_res_seg_2011:z_pct_res_low","std.error",0.0532993411191938,0.05,0.053,0.0533
"co_exclusionary_measure_comparison.csv","ZM_interact_eff_n_dest | res_low | TRUE | z_d_whiteblack_rac_half:z_pct_res_low","std.error",0.0194738777826612,0.02,0.019,0.0195
"co_exclusionary_measure_comparison.csv","ZM_interact_jobs_housing_ratio | res_low | TRUE | z_d_whiteblack_rac_half:z_pct_res_low","std.error",0.0257314412135663,0.03,0.026,0.0257
"co_exclusionary_measure_comparison.csv","ZM_interact_mean_dist_km | res_low | TRUE | z_d_whiteblack_rac_half:z_pct_res_low","std.error",0.0833701787860135,0.08,0.083,0.0834
"co_exclusionary_measure_comparison.csv","ZM_interact_pct_same_tract | res_low | TRUE | z_d_whiteblack_rac_half:z_pct_res_low","std.error",0.0360128664486921,0.04,0.036,0.036
"co_exclusionary_measure_comparison.csv","ZB_aspatial_pct_reslow_of_res | reslow_of_res | TRUE | z_d_whiteblack_rac_aspatial:z_pct_reslow_of_res","std.error",0.0406109616623706,0.04,0.041,0.0406
"co_exclusionary_measure_comparison.csv","ZB_cov50_pct_reslow_of_res | reslow_of_res | TRUE | z_d_whiteblack_rac_half:z_pct_reslow_of_res","std.error",0.0658934219850275,0.07,0.066,0.0659
"co_exclusionary_measure_comparison.csv","ZB_horserace_exclusionary | reslow_of_res | TRUE | z_d_whiteblack_rac_half:z_pct_reslow_of_res","std.error",0.114640775766247,0.11,0.115,0.1146
