"jurisd_main","n_tracts","workers_housed","res_lowwage","jobs_hosted","lowwage_jobs","mean_pct_reslow","inflow_total","inflow_imported","low_total","low_imported","lowwage_share_imported","lowwage_share_retained","dist_imported","dist_retained","outflow_total","retained","jobs_per_worker","pct_residents_retained","pct_jobs_imported","pct_lowwage_jobs_imported","net_flow_import","lowwage_share_resworkers"
"GLENDALE",2,2503,216,10063,1030,0.020834036328959,7949,7859,799,793,10.0903422827332,6.66666666666667,14.6280487372669,0.196753339985864,2254,90,4.02037554934079,3.99290150842946,98.8677821109574,99.2490613266583,5695,8.62964442668797
"GREENWOOD VILLAGE",6,7426,758,58110,3791,66.7603167465484,46370,45571,2913,2838,6.22764477408878,9.38673341677096,15.6644108753136,1.97234536066779,6569,799,7.8252087260975,12.1631907444055,98.2769031701531,97.4253347064882,39801,10.2073794775114
"Golden",4,5630,685,13064,1298,64.2365726875073,10143,9703,964,891,9.18272699165207,16.5909090909091,19.3814683576014,1.25110019000625,4469,440,2.32042628774423,9.8456030431864,95.6620329291137,92.4273858921162,5674,12.1669626998224
"JeffCo",54,100162,11064,81625,9372,87.5705269334283,65119,47122,7531,4643,9.85314714995119,16.0471189642718,21.2463441099795,9.96169616803476,84349,17997,0.814929813701803,21.3363525352998,72.3629048357622,61.6518390651972,-19230,11.0461053093988
"LITTLETON",13,21765,2426,28861,2962,62.305534288592,23994,21590,2459,2107,9.75914775358962,14.6422628951747,16.5085967321342,2.18066723225834,19098,2404,1.32602802664829,12.5877055189025,89.9808285404685,85.685237901586,4896,11.1463358603262
"Lakewood",41,77904,8356,72705,8521,61.0158360668981,56369,44987,6551,4948,10.9987329673017,14.0836408364084,18.6875720919302,4.03455531846892,66532,11382,0.933264017252002,17.1075572656767,79.8080505242243,75.5304533658983,-10163,10.7260217703841
"Lone Tree",2,5355,543,11121,1961,85.9339664572132,8799,8512,1579,1533,18.0098684210526,16.0278745644599,17.7835649320487,0.246287108403572,4647,287,2.07675070028011,6.17602754465246,96.7382657120127,97.0867637745408,4152,10.140056022409
"NORTHGLENN",4,11366,1149,5604,787,59.0362763387665,3950,3606,554,509,14.1153632834165,13.0813953488372,15.2271010921455,1.3448860310228,8858,344,0.493049445715291,3.88349514563107,91.2911392405063,91.8772563176895,-4908,10.10909730776
"Parker",8,24228,2493,15496,2733,82.6105654848373,11606,9896,2165,1779,17.9769603880356,22.5730994152047,21.7184132518798,2.21572068617221,20914,1710,0.639590556381047,8.17634120684709,85.2662415991728,82.1709006928406,-9308,10.2897473997028
"THORNTON",26,67278,7338,35154,5645,71.8180706261784,24294,17737,3963,2786,15.7072785702204,17.9502821412231,20.1240193071338,4.60617686287363,53080,6557,0.522518505306341,12.3530519969857,73.0097966576109,70.3002775674994,-28786,10.9069829661999
"WESTMINSTER",24,57528,5968,45100,5786,63.7725248844847,30832,25690,4047,3303,12.8571428571429,14.4690781796966,19.4281396652717,4.43564514653597,43471,5142,0.783966068696982,11.8285753720871,83.3225220550078,81.6160118606375,-12639,10.374078709498
"Wheat Ridge",7,16302,1634,18852,2372,46.2972923367555,14478,13379,1789,1614,12.0636818895284,15.9235668789809,16.5644803997872,1.49484631016217,13498,1099,1.15642252484358,8.14194695510446,92.4091725376433,90.217998882057,980,10.02331002331
