"construction","primary","mode","form","spec","estimate","std.error","p.value","n_obs"
"block_area|missing",FALSE,"transit","log_trim","ACCESSxSEG",-0.0640346864554003,0.0680239065420375,0.356305588404053,492
"block_area|missing",FALSE,"transit","rank","C_network",-0.081122167386226,0.095035910358064,0.402132325300646,495
"block_area|missing",FALSE,"transit","rank","D_position_net",-0.00816429435189248,0.0888709393632988,0.927599286131778,495
"block_area|missing",FALSE,"transit","rank","ACCESSxSEG",-0.135006392508128,0.0832370191033959,0.118443274249727,495
"block_area|missing",FALSE,"transit","log1p","C_network",-0.151564204987596,0.0772043939246663,0.0618319246634326,495
"block_area|missing",FALSE,"transit","log1p","D_position_net",-0.171585557200945,0.0884305253478596,0.0646942066924117,495
"block_area|missing",FALSE,"transit","log1p","ACCESSxSEG",-0.169805202776769,0.0620492241470182,0.0117576592693804,495
"rel_area|zero",FALSE,"auto","log","C_network",0.0101201552337851,0.0106434665546079,0.350445164843408,646
"rel_area|zero",FALSE,"auto","log","D_position_net",0.0904883009629058,0.0246841136217753,0.00111045107572092,646
"rel_area|zero",FALSE,"auto","log","ACCESSxSEG",-0.00392494041912927,0.0109493662081498,0.722891271218806,646
"rel_area|zero",FALSE,"auto","log_wins","C_network",-0.114498607928419,0.0147197462095428,2.98193939670575e-08,646
"rel_area|zero",FALSE,"auto","log_wins","D_position_net",0.0124031295097793,0.0611794126550069,0.840921320307285,646
"rel_area|zero",FALSE,"auto","log_wins","ACCESSxSEG",-0.130771267354428,0.0185059713226683,1.66911194902513e-07,646
"rel_area|zero",FALSE,"auto","log_trim","C_network",-0.040844982255189,0.021297551338334,0.0661799309476324,644
"rel_area|zero",FALSE,"auto","log_trim","D_position_net",0.0643070296612596,0.0375933735882552,0.0990642320361141,644
"rel_area|zero",FALSE,"auto","log_trim","ACCESSxSEG",-0.0568403938616016,0.0204636764680817,0.0100257910419429,644
"rel_area|zero",FALSE,"auto","rank","C_network",-0.222814165136016,0.0662030493372592,0.00238239284800537,646
"rel_area|zero",FALSE,"auto","rank","D_position_net",-0.022568889453555,0.103945603975624,0.82980797545681,646
"rel_area|zero",FALSE,"auto","rank","ACCESSxSEG",-0.289218848317002,0.0626732958274196,9.29431550695707e-05,646
