"access_z","slope","se","lo","hi","mode","n_obs"
0.41197237824407,0.0678750655321706,0.0408570927218654,-0.0122048362026856,0.147954967267027,"auto (45-min network jobs)",643
0.477138512408955,0.0676109042600009,0.0410151131063225,-0.0127787174283912,0.148000525948393,"auto (45-min network jobs)",643
0.54230464657384,0.0673467429878313,0.0411850597929986,-0.0133759742064459,0.148069460182109,"auto (45-min network jobs)",643
0.607470780738725,0.0670825817156616,0.0413667857920872,-0.0139963184368293,0.148161481868153,"auto (45-min network jobs)",643
0.67263691490361,0.066818420443492,0.0415601365850872,-0.0146394472632789,0.148276288150263,"auto (45-min network jobs)",643
0.737803049068495,0.0665542591713223,0.0417649507213991,-0.01530504424262,0.148413562585265,"auto (45-min network jobs)",643
0.80296918323338,0.0662900978991527,0.041981060421788,-0.0159927805275517,0.148572976325857,"auto (45-min network jobs)",643
0.868135317398266,0.066025936626983,0.0422082921841413,-0.0167023160539338,0.1487541893079,"auto (45-min network jobs)",643
-2.05167481671069,0.283597767859888,0.0696223911375341,0.147137881230321,0.420057654489454,"transit (45-min network jobs)",498
-1.97418804706823,0.277174917475749,0.0679531600558923,0.1439867237662,0.410363111185298,"transit (45-min network jobs)",498
-1.89670127742576,0.270752067091611,0.0662989691380659,0.140806087581002,0.40069804660222,"transit (45-min network jobs)",498
-1.8192145077833,0.264329216707472,0.0646609726904356,0.137593710234219,0.391064723180726,"transit (45-min network jobs)",498
-1.74172773814083,0.257906366323334,0.0630404330814031,0.134347117483784,0.381465615162884,"transit (45-min network jobs)",498
-1.66424096849837,0.251483515939196,0.061438731678177,0.131063601849969,0.371903430028423,"transit (45-min network jobs)",498
-1.5867541988559,0.245060665555057,0.0598573807535023,0.127740199278193,0.362381131831922,"transit (45-min network jobs)",498
-1.50926742921344,0.238637815170919,0.0582980363685693,0.124373663888523,0.352901966453315,"transit (45-min network jobs)",498
-1.43178065957098,0.23221496478678,0.0567625122022173,0.120960440870434,0.343469488703126,"transit (45-min network jobs)",498
-1.35429388992851,0.225792114402642,0.0552527942451535,0.117496637682141,0.334087591123143,"transit (45-min network jobs)",498
-1.27680712028605,0.219369264018504,0.0537710562068686,0.113977993853041,0.324760534183966,"transit (45-min network jobs)",498
-1.19932035064358,0.212946413634365,0.0523196753871976,0.110399849875458,0.315492977393272,"transit (45-min network jobs)",498
-1.12183358100112,0.206523563250227,0.0509012486384744,0.106757115918817,0.306290010581637,"transit (45-min network jobs)",498
-1.04434681135865,0.200100712866088,0.0495186078823347,0.103044241416712,0.297157184315464,"transit (45-min network jobs)",498
-0.966860041716189,0.19367786248195,0.0481748344425552,0.0992551869745418,0.288100537989358,"transit (45-min network jobs)",498
-0.889373272073724,0.187255012097812,0.0468732712091374,0.0953834005279024,0.279126623667721,"transit (45-min network jobs)",498
-0.81188650243126,0.180832161713673,0.0456175313606254,0.0914218002468473,0.270242523180499,"transit (45-min network jobs)",498
-0.734399732788795,0.174409311329535,0.0444115020500827,0.0873627673113727,0.261455855347697,"transit (45-min network jobs)",498
-0.656912963146331,0.167986460945396,0.043259341124963,0.0831981523404689,0.252774769550324,"transit (45-min network jobs)",498
-0.579426193503866,0.161563610561258,0.0421654646375667,0.0789192998716272,0.244207921250889,"transit (45-min network jobs)",498
-0.501939423861402,0.15514076017712,0.0411345226659119,0.0745170957519323,0.235764424602307,"transit (45-min network jobs)",498
-0.424452654218937,0.148717909792981,0.04017136088207,0.0699820424641239,0.227453777121838,"transit (45-min network jobs)",498
-0.346965884576473,0.142295059408843,0.0392809654743509,0.065304367079115,0.219285751738571,"transit (45-min network jobs)",498
-0.269479114934008,0.135872209024704,0.0384683895606685,0.060474165485794,0.211270252563615,"transit (45-min network jobs)",498
-0.191992345291544,0.129449358640566,0.0377386602239681,0.0554815846015885,0.203417132679543,"transit (45-min network jobs)",498
-0.114505575649079,0.123026508256428,0.0370966668168911,0.050317041295321,0.195735975217534,"transit (45-min network jobs)",498
-0.037018806006615,0.116603657872289,0.036547033199171,0.044971472801914,0.188235842942664,"transit (45-min network jobs)",498
0.0404679636358498,0.110180807488151,0.0360939789398971,0.0394366087659523,0.180925006210349,"transit (45-min network jobs)",498
0.117954733278314,0.103757957104012,0.0357411769403405,0.0337052503009449,0.17381066390708,"transit (45-min network jobs)",498
0.195441502920779,0.0973351067198739,0.0354916169786934,0.0277715374416349,0.166898675998113,"transit (45-min network jobs)",498
0.272928272563243,0.0909122563357355,0.0353474858477712,0.021631184074104,0.160193328597367,"transit (45-min network jobs)",498
0.350415042205708,0.0844894059515971,0.0353100746114908,0.0152816597130751,0.153697152190119,"transit (45-min network jobs)",498
0.427901811848172,0.0780665555674587,0.0353797218148231,0.00872230081040544,0.147410810324512,"transit (45-min network jobs)",498
0.505388581490636,0.0716437051833203,0.0355557983405527,0.00195434043583706,0.141333069930804,"transit (45-min network jobs)",498
0.582875351133101,0.0652208547991819,0.0358367354663952,-0.00501914671495263,0.135460856313317,"transit (45-min network jobs)",498
0.660362120775566,0.0587980044150435,0.0362200932557784,-0.0121933783662821,0.129789387196369,"transit (45-min network jobs)",498
0.73784889041803,0.0523751540309051,0.0367026625102421,-0.0195620644891695,0.12431237255098,"transit (45-min network jobs)",498
0.815335660060494,0.0459523036467667,0.0372805907750768,-0.0271176542723839,0.119022261565917,"transit (45-min network jobs)",498
0.892822429702959,0.0395294532626283,0.0379495216709158,-0.0348516092123668,0.113910515737623,"transit (45-min network jobs)",498
0.970309199345424,0.0331066028784899,0.0387047371116048,-0.0427546818602555,0.108967887617235,"transit (45-min network jobs)",498
1.04779596898789,0.0266837524943515,0.0395412934540604,-0.0508171826756069,0.10418468766431,"transit (45-min network jobs)",498
