"year","group","workers","mean_dist","pct_gt24km","eff_n_dest","wexp","dest_earn_entropy"
2013,"earn_mid",384398,14.7772764517701,16.608307015125,77.8275663598417,0.0312913287854465,0.892188618271905
2013,"ind_goods",143003,16.6289429487619,21.6310147339566,31.0277577500352,0.0387555730000409,0.837360236804638
2013,"ind_services",799005,14.8637528149692,16.7843755671116,62.2877910015805,0.027077762713322,0.863542109210481
2013,"ind_tradetrans",207464,17.3257632402272,23.4864844021131,56.3146688236286,0.0329389552608059,0.908624760643164
2014,"age_30_54",688709,15.7780284085232,19.0621873679595,71.1091894099954,0.0293771603934815,0.856030284102196
2014,"age_55p",252166,15.5183164407756,18.592911018932,55.3009121350316,0.0308323428895525,0.859326340321844
2014,"age_u30",249402,14.7910339655791,17.1835029390302,72.5275162417295,0.0291719823511533,0.884901650449313
2014,"all",1190277,15.5161995097726,18.569122985658,79.6741705510023,0.0296424271145621,0.8627780661919
2014,"earn_high",598617,16.4263147131527,20.5067681004716,57.2522391306797,0.027521640298833,0.82920636077437
2014,"earn_low",201611,14.3158345077488,16.6836134933114,60.2784844257207,0.0329713573121543,0.913435718445478
2014,"earn_mid",390049,14.739877446958,16.5699694140993,78.2457708165323,0.0311900677054065,0.888117071428242
2014,"ind_goods",157178,16.7069259407636,21.6658819936632,32.5327577754158,0.0393178035134555,0.831072240973889
2014,"ind_services",819234,14.8032428234302,16.6650798184646,61.2654978384112,0.0269195342052486,0.858675021705254
2014,"ind_tradetrans",213865,17.3721476967532,23.5868421667875,55.5637552981095,0.0329678313784456,0.901797128418492
2015,"age_30_54",718671,15.5330912584548,18.4376439288631,71.4619647065605,0.028520267055942,0.848111877231342
2015,"age_55p",269033,15.3870164666335,18.3475633100772,57.1294994913811,0.0304652580035974,0.852024999537525
2015,"age_u30",270493,14.308155912914,15.8976387559013,72.5728345256395,0.0280535402344109,0.878851561952813
2015,"all",1258197,15.238514673159,17.8723204712776,79.8052605850261,0.0288353992494184,0.855557156923443
2015,"earn_high",645970,16.1791219607844,19.8651640169048,58.4157349928642,0.0267968386304792,0.820795736241529
2015,"earn_low",207044,13.9696671680702,15.8623287803559,60.3928901744721,0.0325889851213087,0.909334911999451
2015,"earn_mid",405183,14.3873021920238,15.7222785753598,77.3388189319555,0.0301766855555546,0.883496318724261
2015,"ind_goods",165670,16.404995689938,20.7714130500392,32.8338538633443,0.0386026142845514,0.828853183414768
2015,"ind_services",863202,14.5477988849237,16.0264920609544,61.6017966202228,0.0262035076968754,0.849687857375842
2015,"ind_tradetrans",229325,16.9957427982501,22.7258257930884,57.3186209415473,0.0316874188680267,0.896941386289069
2016,"age_30_54",724057,15.5538830431042,18.5298947458556,71.7742854698319,0.0289317542410714,0.843092563390744
2016,"age_55p",273076,15.4694328066953,18.6742884764681,58.2244579569816,0.0312680943145916,0.849025343215147
2016,"age_u30",286976,14.3471485911498,16.0797418599465,73.9096869215798,0.0287109487514552,0.875125390261468
2016,"all",1284109,15.2662398922177,18.0130347190153,80.6720196164462,0.0293792009620663,0.851512995228991
2016,"earn_high",675260,16.1807361769162,19.9914107158724,60.0266079874982,0.0272938338340457,0.816686460529355
2016,"earn_low",210067,13.9738503268009,15.7911523466323,61.6519055930983,0.0326323002551948,0.907127489644256
2016,"earn_mid",398782,14.3985117541194,15.8334628945138,77.7863008909171,0.0311986766268974,0.881188847757306
2016,"ind_goods",168670,16.5053350820081,21.1916760538329,34.4406682964402,0.0395978423571983,0.827136988451937
2016,"ind_services",884471,14.5452539533701,16.0852079943831,62.1911968367845,0.0265398057682561,0.84486722042474
